,Name,Price,Red,Green,Blue,Type
11,N AIRISM UV PROTECTION CREW NECK LONG-SLEEVE T-SHIRT RED 19-90,19.9,213,114,110,Shirts
12,N HEATTECH CREW NECK SHORT-SLEEVE T-SHIRT BROWN 14-90,14.9,128,93,68,Shirts
13,N HEATTECH CREW NECK SHORT-SLEEVE T-SHIRT DARK GREEN 14-90,14.9,83,81,64,Shirts
14,N HEATTECH CREW NECK SHORT-SLEEVE T-SHIRT NAVY 14-90,14.9,40,45,54,Shirts
15,CKEY MOUSE X KEITH HARING UT BLACK 14-90,14.9,30,28,28,Shirts
16,CREW NECK LONG-SLEEVE T-SHIRT BLACK 19-90,19.9,29,27,28,Shirts
17,CREW NECK LONG-SLEEVE T-SHIRT DARK BROWN 19-90,19.9,129,84,63,Shirts
18,CREW NECK LONG-SLEEVE T-SHIRT MUSTARD 19-90,19.9,140,100,60,Shirts
19,CREW NECK LONG-SLEEVE T-SHIRT NATURAL 19-90,19.9,228,217,210,Shirts
20,CREW NECK LONG-SLEEVE T-SHIRT NAVY 19-90,19.9,52,48,74,Shirts
21,CREW NECK LONG-SLEEVE T-SHIRT WHITE 19-90,19.9,230,230,233,Shirts
22,CREW NECK SHORT-SLEEVE T-SHIRT BLACK 9-90,9.9,35,33,34,Shirts
23,CREW NECK SHORT-SLEEVE T-SHIRT BLUE 5-90,5.9,60,68,72,Shirts
24,CREW NECK SHORT-SLEEVE T-SHIRT BROWN 9-90,9.9,91,87,80,Shirts
25,CREW NECK SHORT-SLEEVE T-SHIRT GREEN 7-90,7.9,164,172,153,Shirts
26,CREW NECK SHORT-SLEEVE T-SHIRT LIGHT GRAY 9-90,9.9,195,194,198,Shirts
27,CREW NECK SHORT-SLEEVE T-SHIRT NATURAL 9-90,9.9,226,215,208,Shirts
28,CREW NECK SHORT-SLEEVE T-SHIRT NAVY 9-90,9.9,44,64,72,Shirts
29,CREW NECK SHORT-SLEEVE T-SHIRT ORANGE 5-90,5.9,209,164,142,Shirts
30,CREW NECK SHORT-SLEEVE T-SHIRT PINK 7-90,7.9,204,179,181,Shirts
31,CREW NECK SHORT-SLEEVE T-SHIRT WHITE 9-90,9.9,37,31,29,Shirts
32,CREW NECK SHORT-SLEEVE T-SHIRT YELLOW 5-90,5.9,237,220,161,Shirts
